Symbol,Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,39107723205
AA,Alcoa,Metals & Mining,14654254068
AAC,Ares Acquisition,Blank Check / SPAC,1463249960
AACG,ATA Creativity Global,Diversified Consumer Services,37966046
AACI,Armada Acquisition I,Blank Check / SPAC,203367270
AADI,Aadi Bioscience,Biotechnology,390717818
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,113640630
AAL,American Airlines Group,Airlines,9101223929
AAMC,Altisource Asset Management,Real Estate Management & Development,36794524
AAME,Atlantic American,Insurance,47685924
AAN,The Aaron's Company,Specialty Retail,676566072
AAOI,Applied Optoelectronics,Communications Equipment,94903286
AAON,"AAON, Inc.",Building Products,2828177404
AAP,Advance Auto Parts,Specialty Retail,12468798412
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.5251E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,486499961
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2791309542
AATC,Autoscope Technologies,Scientific & Technical Instruments,35026874
AAU,Almaden Minerals,Metals & Mining,55966131
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2368808956
AB,AllianceBernstein Holding,Capital Markets,4352071152
ABB,ABB Ltd,Electrical Equipment,63371100130
ABBV,AbbVie,Biotechnology,2.6365E+11
ABC,AmerisourceBergen,Health Care Providers & Services,30232842117
ABCB,Ameris Bancorp,Banks,3331252445
ABCL,AbCellera Biologics,Biotechnology,2195241726
ABCM,Abcam,Biotechnology,3580136697
ABEO,Abeona Therapeutics,Biotechnology,41419583
ABEV,Ambev,Beverages,41994940416
ABG,Asbury Automotive Group,Specialty Retail,4358147010
ABGI,ABG Acquisition I,Blank Check / SPAC,188686176
ABIO,ARCA biopharma,Biotechnology,30405308
ABM,ABM Industries,Commercial Services & Supplies,3075978462
ABMD,Abiomed,Health Care Equipment & Supplies,13053591284
ABNB,Airbnb,"Hotels, Restaurants & Leisure",93306593170
ABOS,Acumen Pharmaceuticals,Biotechnology,222991358
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2660456177
ABSI,Absci,Biotechnology,835175420
ABST,Absolute Software,Software-Application,421559486
ABT,Abbott Laboratories,Health Care Equipment & Supplies,2.01072E+11
ABTX,Allegiance Bancshares,Banks,906570733
ABUS,Arbutus Biopharma,Biotechnology,432548222
ABVC,ABVC BioPharma,Biotechnology,65229429
AC,Associated Capital Group,Capital Markets,881662257
ACA,Arcosa,Construction & Engineering,2778457568
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,322853000
ACAD,ACADIA Pharmaceuticals,Biotechnology,3736708859
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420900000
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,223577240
ACAX,Alset Capital Acquisition,Blank Check / SPAC,105771730
ACB,Aurora Cannabis,Pharmaceuticals,680830397
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61569180
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,15095417852
ACCD,Accolade,Health Care Technology,953487616
ACCO,ACCO Brands,Commercial Services & Supplies,794607227
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,372937500
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1265357686
ACER,Acer Therapeutics,Pharmaceuticals,34773786
ACET,Adicet Bio,Health Care Providers & Services,513167325
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,140081081
ACGL,Arch Capital Group,Insurance,17333589974
ACH,Aluminum Corporation of China,Metals & Mining,15637870587
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5840033790
ACHL,Achilles Therapeutics,Biotechnology,111113229
ACHR,Archer Aviation,Aerospace & Defense,752339327
ACHV,Achieve Life Sciences,Biotechnology,61968502
ACI,Albertsons Companies,Grocery Stores,16800337918
ACII,Atlas Crest Investment II,Blank Check / SPAC,420900000
ACIU,AC Immune,Biotechnology,271022143
ACIW,ACI Worldwide,Software,3637172976
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,155652250
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2107467330
